action_lable,python_signal,matlable_signal,,,,Datetime,matlable_signal,
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/3/24 11:05,2015/3/24 11:05,TRUE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2015/3/25 9:40,2015/3/25 9:40,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/3/26 9:15,2015/3/26 9:15,TRUE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2015/3/27 9:15,2015/3/27 9:15,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/3/30 9:15,2015/3/30 9:15,TRUE
Prev+Profit Close,'Prev+Profit Close','Prev+Profit Close',TRUE,,,2015/3/31 9:15,2015/3/31 9:15,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/4/1 9:15,2015/4/1 9:15,TRUE
Normal Close,'Normal Close','Normal Close',TRUE,,,2015/4/2 9:15,2015/4/2 9:15,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/4/3 10:20,2015/4/3 10:20,TRUE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2015/4/7 9:15,2015/4/7 9:15,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/4/8 9:15,2015/4/8 9:15,TRUE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2015/4/9 9:15,2015/4/9 9:15,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/4/14 14:25,2015/4/14 14:25,TRUE
Normal Close,'Normal Close','Normal Close',TRUE,,,2015/4/15 9:15,2015/4/15 9:15,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/4/16 9:15,2015/4/16 9:15,TRUE
StopLoss Close,'StopLoss Close','StopLoss Close',TRUE,,,2015/4/17 14:05,2015/4/17 14:05,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/4/20 9:40,2015/4/20 9:40,TRUE
Normal Close,'Normal Close','Normal Close',TRUE,,,2015/4/21 9:15,2015/4/21 9:15,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/4/22 9:15,2015/4/22 9:15,TRUE
Prev+Profit Close,'Prev+Profit Close','Prev+Profit Close',TRUE,,,2015/4/23 9:15,2015/4/23 9:15,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/4/24 9:15,2015/4/24 9:15,TRUE
Normal Close,'Normal Close','Normal Close',TRUE,,,2015/4/27 9:15,2015/4/27 9:15,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/4/28 10:05,2015/4/28 10:05,TRUE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2015/4/29 10:00,2015/4/29 10:00,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/5/4 9:15,2015/5/4 9:15,TRUE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2015/5/5 9:15,2015/5/5 9:15,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/5/6 9:15,2015/5/6 9:15,TRUE
Prev+Profit Close,'Prev+Profit Close','Prev+Profit Close',TRUE,,,2015/5/7 9:15,2015/5/7 9:15,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/5/8 9:15,2015/5/8 9:15,TRUE
Prev+Profit Close,'Prev+Profit Close','Prev+Profit Close',TRUE,,,2015/5/11 9:15,2015/5/11 9:15,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/5/12 11:25,2015/5/12 11:25,TRUE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2015/5/13 9:15,2015/5/13 9:15,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/5/14 14:20,2015/5/14 14:20,TRUE
Normal Close,'Normal Close','Normal Close',TRUE,,,2015/5/15 9:30,2015/5/15 9:30,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/5/18 9:30,2015/5/18 9:30,TRUE
Prev+Profit Close,'Prev+Profit Close','Prev+Profit Close',TRUE,,,2015/5/19 9:15,2015/5/19 9:15,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/5/20 9:15,2015/5/20 9:15,TRUE
Normal Close,'Normal Close','Normal Close',TRUE,,,2015/5/21 14:20,2015/5/21 14:20,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/5/25 11:15,2015/5/25 11:15,TRUE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2015/5/26 9:15,2015/5/26 9:15,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/5/27 9:15,2015/5/27 9:15,TRUE
Prev+Profit Close,'Prev+Profit Close','Prev+Profit Close',TRUE,,,2015/5/28 9:15,2015/5/28 9:15,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/5/29 9:15,2015/5/29 9:15,TRUE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2015/6/1 9:15,2015/6/1 9:15,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/6/2 9:15,2015/6/2 9:15,TRUE
StopLoss Close,'StopLoss Close','StopLoss Close',TRUE,,,2015/6/3 9:20,2015/6/3 9:20,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/6/4 9:15,2015/6/4 9:15,TRUE
Normal Close,'Normal Close','Normal Close',TRUE,,,2015/6/5 9:15,2015/6/5 9:15,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/6/9 10:35,2015/6/9 10:35,TRUE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2015/6/10 9:15,2015/6/10 9:15,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/6/11 9:15,2015/6/11 9:15,TRUE
Prev+Profit Close,'Prev+Profit Close','Prev+Profit Close',TRUE,,,2015/6/12 9:15,2015/6/12 9:15,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/6/15 9:15,2015/6/15 9:15,TRUE
Normal Close,'Normal Close','Normal Close',TRUE,,,2015/6/16 9:15,2015/6/16 9:15,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/6/17 9:35,2015/6/17 9:35,TRUE
StopLoss Close,'StopLoss Close','StopLoss Close',TRUE,,,2015/6/18 9:25,2015/6/18 9:25,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/6/19 9:15,2015/6/19 9:15,TRUE
Prev+Profit Close,'Prev+Profit Close','Prev+Profit Close',TRUE,,,2015/6/23 9:15,2015/6/23 9:15,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/6/24 9:25,2015/6/24 9:25,TRUE
Normal Close,'Normal Close','Normal Close',TRUE,,,2015/6/25 9:20,2015/6/25 9:20,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/6/26 9:15,2015/6/26 9:15,TRUE
Normal Close,'Normal Close','Normal Close',TRUE,,,2015/6/29 9:15,2015/6/29 9:15,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/6/30 9:15,2015/6/30 9:15,TRUE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2015/7/2 9:15,2015/7/2 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/7/6 9:35,2015/7/6 9:35,FALSE
Normal Close,'Normal Close','Normal Close',TRUE,,,2015/7/7 9:15,2015/7/7 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/7/8 9:20,2015/7/8 9:20,TRUE
Prev+Profit Close,'Prev+Profit Close','Prev+Profit Close',TRUE,,,2015/7/9 9:15,2015/7/9 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/7/10 9:15,2015/7/10 9:15,FALSE
Prev+Profit Close,'Prev+Profit Close','Prev+Profit Close',TRUE,,,2015/7/13 9:15,2015/7/13 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/7/14 9:15,2015/7/14 9:15,FALSE
Prev+Profit Close,'Prev+Profit Close','Prev+Profit Close',TRUE,,,2015/7/15 9:15,2015/7/15 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/7/17 13:10,2015/7/17 13:10,TRUE
