,Type,Before_X,Before_X_Atleast,After_Y,lockprofit,stoploss,totalpnl,count,avgpnl,winratio
40,Strong_Long,3,3,2,0.3,0.1,1.50 ,5,30%,100%
42,Strong_Long,4,4,2,0.3,0.1,1.50 ,5,30%,100%
46,Strong_Long,3,3,2,0.3,0.2,1.50 ,5,30%,100%
48,Strong_Long,4,4,2,0.3,0.2,1.50 ,5,30%,100%
52,Strong_Long,3,3,2,0.3,0.3,1.50 ,5,30%,100%
54,Strong_Long,4,4,2,0.3,0.3,1.50 ,5,30%,100%
38,Strong_Long,2,2,2,0.3,0.1,1.61 ,6,27%,100%
44,Strong_Long,2,2,2,0.3,0.2,1.61 ,6,27%,100%
50,Strong_Long,2,2,2,0.3,0.3,1.61 ,6,27%,100%
41,Strong_Long,4,4,1,0.3,0.1,3.08 ,15,21%,80%
22,Strong_Long,3,3,2,0.2,0.1,1.00 ,5,20%,100%
24,Strong_Long,4,4,2,0.2,0.1,1.00 ,5,20%,100%
28,Strong_Long,3,3,2,0.2,0.2,1.00 ,5,20%,100%
30,Strong_Long,4,4,2,0.2,0.2,1.00 ,5,20%,100%
34,Strong_Long,3,3,2,0.2,0.3,1.00 ,5,20%,100%
36,Strong_Long,4,4,2,0.2,0.3,1.00 ,5,20%,100%
47,Strong_Long,4,4,1,0.3,0.2,2.78 ,15,19%,80%
20,Strong_Long,2,2,2,0.2,0.1,1.11 ,6,18%,100%
26,Strong_Long,2,2,2,0.2,0.2,1.11 ,6,18%,100%
32,Strong_Long,2,2,2,0.2,0.3,1.11 ,6,18%,100%
39,Strong_Long,3,3,1,0.3,0.1,3.12 ,17,18%,76%
37,Strong_Long,2,2,1,0.3,0.1,3.22 ,18,18%,78%
53,Strong_Long,4,4,1,0.3,0.3,2.50 ,15,17%,80%
23,Strong_Long,4,4,1,0.2,0.1,2.40 ,15,16%,87%
45,Strong_Long,3,3,1,0.3,0.2,2.72 ,17,16%,76%
43,Strong_Long,2,2,1,0.3,0.2,2.82 ,18,16%,78%
29,Strong_Long,4,4,1,0.2,0.2,2.20 ,15,15%,87%
21,Strong_Long,3,3,1,0.2,0.1,2.44 ,17,14%,82%
